Triangulation: J, 67 polys, 818 nodes
948 triangles:
 395 455 394
 396 397 724
 397 398 724
 398 384 724
 399 400 619
 400 401 622
 401 402 621
 402 458 621
 403 458 402
 404 459 403
 405 462 404
 406 462 405
 407 461 406
 408 461 407
 409 461 408
 410 411 421
 410 461 409
 411 412 421
 412 413 420
 413 399 419
 414 415 629
 415 416 627
 416 417 627
 417 399 619
 417 619 623
 417 623 135
 418 399 417
 419 399 418
 420 413 419
 421 412 420
 422 410 421
 422 461 410
 423 463 422
 424 463 423
 425 426 629
 425 463 424
 426 427 629
 427 428 629
 428 414 629
 429 430 99
 430 431 99
 431 432 99
 432 98 99
 433 98 432
 434 98 433
 441 429 99
 442 443 125
 443 444 125
 444 445 125
 445 324 366
 445 366 367
 445 367 125
 446 323 445
 447 323 446
 448 338 447
 449 337 448
 450 337 449
 451 336 450
 453 454 125
 454 442 125
 455 64 392
 456 63 455
 457 63 456
 457 458 459
 458 395 621
 458 455 395
 459 458 403
 460 63 457
 460 457 459
 461 63 460
 461 462 406
 462 459 404
 463 461 422
 464 63 461
 464 461 463
 465 63 464
 465 466 467
 466 463 425
 467 425 629
 467 466 425
 468 63 465
 468 465 467
 469 63 468
 469 470 139
 470 467 629
 470 629 137
 471 59 484
 472 473 52
 473 474 52
 474 475 1
 475 476 1
 476 477 1
 477 478 1
 478 62 141
 478 141 1
 479 62 478
 480 62 479
 481 62 480
 482 61 481
 483 59 482
 484 59 483
 485 46 498
 486 487 38
 487 488 38
 488 489 37
 489 490 1
 490 491 1
 491 492 1
 492 474 1
 493 474 492
 494 50 493
 495 48 494
 496 47 495
 497 47 496
 498 46 497
 499 500 22
 500 501 22
 501 502 21
 502 503 7
 503 504 7
 504 505 5
 505 506 5
 506 34 5
 507 33 506
 508 32 507
 509 31 508
 510 31 509
 511 31 510
 514 515 7
 515 516 7
 516 517 7
 517 518 7
 518 519 7
 519 520 7
 520 502 7
 521 502 520
 522 20 521
 523 17 522
 524 17 523
 525 17 524
 528 529 631
 529 532 638
 529 638 639
 529 639 640
 529 640 631
 530 531 529
 531 532 529
 532 533 638
 533 77 637
 533 637 638
 534 77 533
 535 534 542
 535 536 84
 536 537 84
 537 540 84
 538 539 537
 539 540 537
 540 541 84
 541 527 648
 541 648 84
 542 527 541
 542 534 527
 543 215 554
 544 77 215
 544 215 543
 545 77 544
 548 549 556
 549 550 556
 550 551 555
 551 552 159
 552 553 159
 553 554 159
 554 215 216
 554 216 217
 554 217 218
 554 218 219
 554 219 257
 554 257 258
 555 551 566
 556 550 555
 557 548 556
 558 548 557
 559 547 548
 559 548 558
 560 547 559
 560 561 164
 561 562 164
 562 563 162
 563 564 161
 564 565 160
 565 566 160
 566 551 160
